total_bets,total_staked,total_profit,roi,strike_rate,avg_price,avg_edge,wins,combo_label,weight_market_sanity,weight_steam,weight_total,calibration_wmae_pp
554,554.0,61.2,0.11046931407942238,0.12815884476534295,9.079963898916969,0.08849250977002665,71,baseline,0.0092,0.08,1.0,1.1191139314883367
582,582.0,-7.700000000000003,-0.013230240549828184,0.11168384879725086,9.276288659793813,0.08821075067888177,65,mkt=0.010|steam=0.040,0.01,0.04,1.0,1.0424701803866265
555,555.0,34.2,0.061621621621621624,0.12252252252252252,9.193873873873875,0.08798100967214924,68,mkt=0.010|steam=0.060,0.01,0.06,0.9999999999999999,1.1388036899935372
553,553.0,54.2,0.09801084990958409,0.12658227848101267,9.074683544303797,0.08850401147209097,70,mkt=0.010|steam=0.080,0.01,0.08,1.0,1.0878841295023214
552,552.0,30.099999999999998,0.05452898550724637,0.125,9.022826086956522,0.08973131996852357,69,mkt=0.010|steam=0.100,0.01,0.1,1.0,1.090957165520889
563,563.0,-0.5999999999999996,-0.001065719360568383,0.11545293072824156,9.184014209591474,0.08721086536037088,65,mkt=0.030|steam=0.040,0.03,0.04,1.0,1.2048886538574541
521,521.0,4.200000000000001,0.008061420345489446,0.11708253358925144,9.082725527831094,0.08687514636574607,61,mkt=0.030|steam=0.060,0.03,0.06,0.9999999999999999,1.3397261883776963
522,522.0,11.099999999999998,0.02126436781609195,0.12260536398467432,8.931800766283525,0.08715736446801825,64,mkt=0.030|steam=0.080,0.03,0.08,1.0,1.2147893530759735
527,527.0,38.99999999999999,0.07400379506641365,0.1252371916508539,8.930740037950665,0.08826847921490634,66,mkt=0.030|steam=0.100,0.03,0.1,1.0,1.2082143486691346
511,511.0,5.699999999999999,0.011154598825831702,0.11741682974559686,9.211937377690802,0.08614511159944824,60,mkt=0.050|steam=0.040,0.05,0.04,0.9999999999999999,1.308038075092544
493,493.0,10.200000000000001,0.020689655172413796,0.11764705882352941,9.023732251521299,0.08523358865909496,58,mkt=0.050|steam=0.060,0.05,0.06,0.9999999999999999,1.4484282272753983
497,497.0,31.9,0.0641851106639839,0.1267605633802817,8.91066398390342,0.08504888999265249,63,mkt=0.050|steam=0.080,0.05,0.08,1.0,1.2788765497385275
508,508.0,29.7,0.058464566929133856,0.12401574803149606,8.92992125984252,0.08649661096257977,63,mkt=0.050|steam=0.100,0.05,0.1,1.0,1.3473177037428758
494,494.0,-11.3,-0.022874493927125508,0.11336032388663968,9.14838056680162,0.08607777525536665,56,mkt=0.060|steam=0.040,0.06,0.04,0.9999999999999999,1.3198542805100189
488,488.0,10.199999999999996,0.020901639344262285,0.1168032786885246,9.032991803278689,0.08472601127168755,57,mkt=0.060|steam=0.060,0.06,0.06,0.9999999999999999,1.5053763440860224
489,489.0,18.0,0.03680981595092025,0.12269938650306748,8.88159509202454,0.08415028260387776,60,mkt=0.060|steam=0.080,0.06,0.08,0.9999999999999999,1.3231917268934719
497,497.0,47.0,0.09456740442655935,0.13078470824949698,8.840040241448692,0.0856703136787351,65,mkt=0.060|steam=0.100,0.06,0.1,0.9999999999999999,1.395734179446501
461,461.0,-44.3,-0.09609544468546637,0.10629067245119306,9.080911062906726,0.08494439869921963,49,mkt=0.080|steam=0.040,0.08,0.04,1.0,1.3906046183677072
436,436.0,27.699999999999996,0.06353211009174312,0.12385321100917432,9.001605504587156,0.08452975841009161,54,mkt=0.080|steam=0.060,0.08,0.06,1.0,1.4701803866267116
453,453.0,22.499999999999996,0.04966887417218542,0.12582781456953643,8.833774834437087,0.08365601401456657,57,mkt=0.080|steam=0.080,0.08,0.08,1.0,1.4181385510312003
454,454.0,68.6,0.15110132158590306,0.13876651982378854,8.751101321585903,0.08437784116261697,63,mkt=0.080|steam=0.100,0.08,0.1,1.0,1.4063340971854983
